City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,kandava,57.0409,22.7747,6.55,84,34,2.43,LV,1681269592
323,garut,-7.2024,107.8878,27.89,61,98,0.85,ID,1681269053
324,portland,45.5234,-122.6762,9.33,78,85,1.79,US,1681269463
325,pacific grove,36.6177,-121.9166,13.62,79,99,10.73,US,1681269516
326,mahibadhoo,3.7833,72.9667,28.89,71,14,4.04,MV,1681269592
327,sao gabriel da cachoeira,-0.1303,-67.0892,22.63,98,93,0.46,BR,1681269592
328,faisalabad,31.4167,73.0833,27.96,29,0,0.57,PK,1681269592
329,narathiwat,6.3333,101.75,35.62,54,97,1.05,TH,1681269592
330,arshan,46.2732,44.22,12.21,58,100,8.0,RU,1681269592
331,moranbah,-22.0016,148.0466,31.69,21,89,3.57,AU,1681269593
332,jonkoping,57.7814,14.1562,4.1,100,100,0.51,SE,1681269594
333,manthani,18.65,79.6667,34.43,25,5,1.94,IN,1681269594
334,la asuncion,11.0333,-63.8628,24.27,90,67,6.98,VE,1681269318
335,novo aripuana,-5.1206,-60.3797,23.48,91,84,1.06,BR,1681269594
336,gus-zheleznyy,55.0581,41.1656,6.05,58,92,1.21,RU,1681269594
337,esperance,-33.8667,121.9,22.45,52,0,5.32,AU,1681269595
338,ise,34.4833,136.7,16.62,68,61,0.65,JP,1681269595
339,barranca,-10.75,-77.7667,24.03,80,26,3.35,PE,1681269595
340,hambantota,6.1241,81.1185,29.33,66,35,6.17,LK,1681269595
341,helena,46.5927,-112.0361,6.55,53,75,5.14,US,1681269041
342,pizhanka,57.4604,48.542,4.03,75,16,2.81,RU,1681269596
343,nanchang,28.6833,115.8833,25.14,65,13,3.54,CN,1681269307
344,laerdalsoyri,61.098,7.4816,7.18,70,100,0.51,NO,1681269596
345,oktyabrskiy,54.4815,53.471,5.96,54,2,1.81,RU,1681269596
346,mahenge,-8.6833,36.7167,16.57,96,69,0.54,TZ,1681269597
347,adrar,20.5022,-10.0711,23.08,49,95,2.4,MR,1681269597
348,lasa,46.6166,10.7002,6.12,82,91,1.11,IT,1681269597
349,goderich,43.7501,-81.7165,10.18,66,100,4.12,CA,1681269597
350,thinadhoo,0.5333,72.9333,27.93,72,57,1.58,MV,1681269597
351,ibra,22.6906,58.5334,25.11,53,100,1.79,OM,1681269597
352,alikalia,9.1667,-11.4,23.18,83,100,0.97,SL,1681269597
353,ergani,38.2653,39.7621,9.55,99,100,2.09,TR,1681269597
354,tarko-sale,64.9225,77.785,-20.85,92,76,4.35,RU,1681269597
355,nouakchott,18.0858,-15.9785,19.96,83,96,2.42,MR,1681269560
356,sabha,27.0377,14.4283,12.57,37,36,4.41,LY,1681269598
357,jutai,-5.1833,-68.9,22.92,97,13,0.65,BR,1681269599
358,bubaque,11.2833,-15.8333,25.33,67,53,7.23,GW,1681269599
359,luderitz,-26.6481,15.1594,15.06,63,25,2.3,NA,1681269602
360,salas,43.4118,-6.2602,15.76,59,100,3.38,ES,1681269602
361,cervo,43.6702,-7.4101,12.76,90,100,8.18,ES,1681269603
362,srednekolymsk,67.45,153.6833,-13.45,79,49,2.67,RU,1681269605
363,solnechnyy,50.7214,136.6319,-2.09,89,100,6.15,RU,1681269606
364,shawinigan,46.5668,-72.7491,8.46,73,68,6.96,CA,1681269316
365,codrington,-38.2667,141.9667,17.5,81,98,7.56,AU,1681269606
366,muros,42.7762,-9.0603,14.49,89,100,7.62,ES,1681269606
367,anadyr,64.75,177.4833,-18.72,71,0,5.0,RU,1681269606
368,berdigestyakh,62.0989,126.6992,-4.9,82,94,2.52,RU,1681269606
369,pozo colorado,-23.4923,-58.7972,25.66,68,76,3.79,PY,1681269607
370,boa vista,2.8197,-60.6733,29.99,54,75,4.12,BR,1681269607
371,kostomuksha,64.571,30.5767,0.23,96,100,1.42,RU,1681269607
372,comodoro rivadavia,-45.8667,-67.5,10.09,55,6,6.89,AR,1681269343
373,darlowo,54.421,16.4107,5.16,93,64,3.99,PL,1681269608
374,thurso,58.5927,-3.5259,7.14,95,100,16.0,GB,1681269608
375,ullal,12.8,74.85,28.25,74,1,0.74,IN,1681269608
376,pimentel,-6.8367,-79.9342,25.73,83,100,5.24,PE,1681269532
377,bonthe,7.5264,-12.505,25.72,87,96,2.88,SL,1681269610
378,nanortalik,60.1432,-45.2371,-0.73,90,95,2.57,GL,1681269611
379,tigil,57.8,158.6667,-8.33,83,100,4.77,RU,1681269611
380,sfantu gheorghe,45.8667,25.7833,6.01,96,100,1.64,RO,1681269612
381,jaru,-10.4389,-62.4664,22.58,97,99,1.15,BR,1681269612
382,kruisfontein,-34.0033,24.7314,8.27,83,73,2.02,ZA,1681269613
383,high wycombe,51.6291,-0.7493,6.66,82,69,5.87,GB,1681269613
384,bintulu,3.1667,113.0333,29.46,69,29,1.45,MY,1681269614
385,plettenberg bay,-34.0527,23.3716,12.09,75,73,1.63,ZA,1681269614
386,jalu,29.0331,21.5482,12.58,74,0,5.37,LY,1681269614
387,north bend,43.4065,-124.2243,7.95,78,75,3.09,US,1681269615
388,hopkinsville,36.8656,-87.4886,14.97,65,0,2.25,US,1681269615
389,fortuna,40.5982,-124.1573,9.25,71,11,2.46,US,1681269392
390,yuzhno-kurilsk,44.0306,145.8556,5.93,97,100,8.56,RU,1681269615
391,urucara,-2.5364,-57.76,23.23,96,100,0.67,BR,1681269617
392,eucaliptus,-17.5833,-67.5167,9.95,58,77,1.95,BO,1681269618
393,praxedis guerrero,31.3667,-106.0167,26.7,26,8,7.32,MX,1681269618
394,zyryanka,65.75,150.85,-12.2,77,94,2.69,RU,1681269618
395,sharjah,25.3573,55.4033,27.16,47,0,2.57,AE,1681269619
396,padang,-0.9492,100.3543,28.03,72,80,1.31,ID,1681269619
397,nivala,63.9167,24.9667,-1.84,99,100,1.93,FI,1681269620
398,mingyue,43.1069,128.9217,7.22,21,0,8.96,CN,1681269620
399,khatanga,71.9667,102.5,-12.73,80,100,7.83,RU,1681269621
400,bugko,12.5356,124.7923,25.08,93,100,5.98,PH,1681269621
401,mangrol,21.1167,70.1167,27.03,56,27,5.34,IN,1681269621
402,skelmersdale,53.5502,-2.7735,5.23,78,25,5.87,GB,1681269623
403,vostok,46.4856,135.8833,0.98,61,100,7.73,RU,1681269623
404,meulaboh,4.1363,96.1285,28.05,74,93,0.39,ID,1681269623
405,watsa,3.0372,29.5355,17.84,93,95,1.5,CD,1681269623
406,amarante do maranhao,-5.5667,-46.7422,21.85,97,100,1.26,BR,1681269623
407,road town,18.4167,-64.6167,26.05,77,15,7.26,VG,1681269625
408,vysokogornyy,50.1167,139.15,2.72,84,99,4.04,RU,1681269626
409,hervey bay,-25.2986,152.8535,27.23,45,3,2.23,AU,1681269626
410,kerouane,9.2667,-9.0167,25.37,61,96,1.47,GN,1681269626
411,glenwood springs,39.5505,-107.3248,13.51,44,0,4.12,US,1681269626
412,karratha,-20.7377,116.8463,33.71,45,91,6.03,AU,1681269627
413,dakar,14.6937,-17.4441,21.49,87,46,6.1,SN,1681269508
414,port lincoln,-34.7333,135.8667,18.04,56,0,8.59,AU,1681269628
